point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江上虞百官镇方言音系
SY02,上虞百官镇,太湖片-临绍小片,,,歌,Ø,何,ɐ/o,白读～谁/文读,
SY02,上虞百官镇,太湖片-临绍小片,,,歌,Ø,荷,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,歌,Ø,贺,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,歌,Ø,阿,,,
SY02,上虞百官镇,太湖片-临绍小片,,,歌,Ø,屙,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,茄,iɐ,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,波,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,菠,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,跛,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,簸,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,簸,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,播,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,颇,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,坡,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,玻,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,破,ɐ/o,白读/文读,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,婆,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,P,薄,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,M,魔,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,M,磨,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,M,摩,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,M,馍,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,M,蘑,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,M,磨,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,朵,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,躲,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,剁,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,妥,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,椭,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,唾,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,砣,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,惰,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,垛,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,T,堕,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,N,挼,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,N,糯,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,N,懦,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,L,骡,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,L,螺,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,L,脶,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,L,啰,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,L,裸,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,L,瘰,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,L,摞,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,锉,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,莝,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,矬,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,坐,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,座,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,蓑,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,梭,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,唆,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,莎,ɐ,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,锁,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,琐,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,TS,唢,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,过,u,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,锅,u,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,戈,u,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,果,u,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,裹,u,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,餜,u,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,过,u,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,科,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,窠,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,棵,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,髁,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,蝌,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,颗,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,课,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,讹,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,K,卧,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,火,u,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,伙,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,货,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,和,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,禾,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,祸,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,夥,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,和,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,倭,uo,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,踒,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,窝,uo,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,涡,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,莴,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,涴,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,瘸,,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,靴,y,,
SY02,上虞百官镇,太湖片-临绍小片,,,戈,Ø,�,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,巴,ɐ/o,古～/下～,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,芭,ɐ,～比,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,疤,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,笆,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,吧,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,把,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,靶,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,霸,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,欛,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,壩,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,坝,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,爸,ɐ,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,怕,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,帕,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,爬,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,琶,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,杷,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,钯,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,P,耙,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,M,麻,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,M,痲,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,M,蟆,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,M,妈,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,M,马,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,M,码,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,M,玛,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,M,蚂,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,M,骂,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,N,拿,o,白读,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS,茶,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS,搽,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS,䖳,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,楂,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,渣,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,诈,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,榨,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,炸,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,叉,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,杈,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,差,ɐ/o,～遣/～勿多,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,岔,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,差,ɐ/o,～遣/～勿多,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,茬,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,查,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,乍,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,沙,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,纱,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,痧,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,砂,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,鲨,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,裟,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,洒,ɐ,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,TS*,厦,ɐ,大～,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,家,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,傢,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,加,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,痂,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,嘉,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,枷,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,袈,,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,假,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,贾,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,假,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,架,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,驾,iɐ,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,嫁,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,稼,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,价,o,,
SY02,上虞百官镇,太湖片-临绍小片,,,麻,K,揢,o,,
