point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吕叔湘1993
DY01,丹阳,太湖片-毗陵小片,,,歌,T,多,ə                                  ,,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,拖,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,他,ɑ,,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,驼,ə                                  ,,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,驮,ə                                  ,,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,陀,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,鸵,,,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,沱,,,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,舵,ə                                  ,,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,大,ɑ/ə,文读/白读,
DY01,丹阳,太湖片-毗陵小片,,,歌,T,驮,,,
DY01,丹阳,太湖片-毗陵小片,,,歌,N,挪,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,N,哪,ɑ,,
DY01,丹阳,太湖片-毗陵小片,,,歌,N,那,ɑ,,
DY01,丹阳,太湖片-毗陵小片,,,歌,L,罗,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,L,锣,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,L,箩,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,L,萝,ə/ɔ,/～卜,
DY01,丹阳,太湖片-毗陵小片,,,歌,L,逻,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,TS,左,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,TS,佐,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,TS,搓,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,TS,娑,,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,歌,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,哥,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,柯,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,个,æʔ,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,轲,,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,可,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,蛾,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,鹅,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,俄,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,娥,,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,我,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,K,饿,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,Ø,荷,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,Ø,河,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,Ø,何,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,Ø,荷,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,Ø,贺,ə,,
DY01,丹阳,太湖片-毗陵小片,,,歌,Ø,阿,,,
DY01,丹阳,太湖片-毗陵小片,,,歌,Ø,屙,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,茄,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,波,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,菠,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,跛,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,簸,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,簸,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,播,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,颇,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,坡,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,玻,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,破,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,婆,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,P,薄,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,M,魔,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,M,磨,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,M,摩,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,M,馍,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,M,蘑,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,M,磨,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,朵,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,躲,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,剁,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,妥,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,椭,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,唾,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,砣,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,惰,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,垛,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,T,堕,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,N,挼,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,N,糯,ə,白读,
DY01,丹阳,太湖片-毗陵小片,,,戈,N,懦,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,L,骡,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,L,螺,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,L,脶,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,L,啰,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,L,裸,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,L,瘰,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,L,摞,ə,白读,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,锉,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,莝,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,矬,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,坐,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,座,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,蓑,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,梭,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,唆,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,莎,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,锁,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,琐,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,TS,唢,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,过,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,锅,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,戈,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,果,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,裹,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,餜,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,过,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,科,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,窠,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,棵,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,髁,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,蝌,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,颗,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,课,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,讹,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,K,卧,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,火,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,伙,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,货,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,和,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,禾,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,祸,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,夥,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,和,ə,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,倭,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,踒,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,窝,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,涡,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,莴,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,涴,,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,瘸,yɑ,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,靴,yɑ,,
DY01,丹阳,太湖片-毗陵小片,,,戈,Ø,�,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,巴,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,芭,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,疤,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,笆,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,吧,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,把,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,靶,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,霸,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,欛,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,壩,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,坝,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,爸,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,怕,ɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,帕,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,爬,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,琶,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,杷,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,钯,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,P,耙,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,M,麻,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,M,痲,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,M,蟆,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,M,妈,ɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,M,马,ɑ,白读,
DY01,丹阳,太湖片-毗陵小片,,,麻,M,码,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,M,玛,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,M,蚂,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,M,骂,ɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,N,拿,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS,茶,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS,搽,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS,䖳,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,楂,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,渣,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,诈,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,榨,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,炸,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,叉,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,杈,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,差,ɑ,文读（出～）,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,岔,ɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,差,ɑ,文读（出～）,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,茬,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,查,ɑ,文读（姓）,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,乍,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,沙,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,纱,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,痧,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,砂,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,鲨,ɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,裟,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,洒,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,TS*,厦,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,家,ɑ/iɑ,白读/文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,傢,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,加,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,痂,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,嘉,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,枷,iɑ,iɑ,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,袈,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,假,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,贾,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,假,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,架,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,驾,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,嫁,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,稼,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,价,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,揢,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,牙,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,芽,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,衙,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,伢,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,蚜,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,雅,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,K,砑,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,虾,iɑ,文读,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,�,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,嚇,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,霞,iɑ,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,瑕,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,遐,,,
DY01,丹阳,太湖片-毗陵小片,,,麻,Ø,蝦,,,
