onset_class,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share,clear_split_contribution_share,point_normalized_rate,point_onset_cell_count,point_prevalence_any_split,slot_balanced_rate,slot_cell_count,point_slot_balanced_rate,point_slot_cell_count,clear_split_rate_rank,point_normalized_rate_rank,slot_balanced_rate_rank,point_slot_balanced_rate_rank,point_prevalence_any_split_rank,mean_rank
N,1630,1593,354,0,7,24,3,3,1239,64,28,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.2222222222222222,0.21717791411042944,0.0018404907975460123,0.004294478527607362,0.014723926380368098,0.1457389872375463,0.21929732882099678,65,0.3384615384615385,0.22723918105587296,2,0.23263811984742216,129,1.0,1.0,1.0,1.0,2.0,1.2
T,2306,2268,478,0,13,24,1,0,1790,64,24,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.21075837742504408,0.20728534258456202,0.0004336513443191674,0.005637467476149176,0.010407632263660017,0.19678880197612186,0.20783858156348906,65,0.3384615384615385,0.21800512398785427,2,0.21454736998467647,130,2.0,2.0,2.0,2.0,2.0,2.0
K,5018,4355,672,532,20,45,40,3,3683,64,50,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.15430539609644087,0.13391789557592668,0.007971303308090873,0.0039856516540454365,0.008967716221602232,0.276657060518732,0.15881537393735445,65,0.35384615384615387,0.12252950694368615,4,0.11936097406548235,257,3.0,3.0,4.0,4.0,1.0,3.0
TS,3133,2959,351,35,13,25,72,2,2608,64,42,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.11862115579587698,0.11203319502074689,0.02298116820938398,0.004149377593360996,0.007979572294924991,0.14450391107451627,0.11788110787580595,65,0.3384615384615385,0.12580630202592952,4,0.13293041150184007,259,4.0,4.0,3.0,3.0,2.0,3.2
Ø,3416,2957,332,344,16,30,59,8,2625,64,58,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.11227595536016233,0.09718969555035128,0.01727166276346604,0.00468384074941452,0.008782201405152224,0.1366817620419926,0.10995452094286957,65,0.3384615384615385,0.08717685421794409,4,0.08426042069249352,252,5.0,5.0,6.0,6.0,2.0,4.8
M,1335,1279,118,0,11,31,13,1,1161,64,31,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.09225957779515247,0.08838951310861423,0.009737827715355805,0.008239700374531835,0.023220973782771534,0.04857966241251544,0.09686465249616932,65,0.24615384615384617,0.09198966408268734,4,0.10530202821869489,252,6.0,6.0,5.0,5.0,6.0,5.6
P,3061,2960,124,0,11,27,29,3,2836,64,30,"ou, əu, əɯ, ɤɯ, ʌɯ",0.041891891891891894,0.04050963737340738,0.009474028095393662,0.0035935968637700096,0.008820646847435479,0.05104981473857555,0.042444021628274826,65,0.18461538461538463,0.05156018588367209,4,0.048660130718954246,255,7.0,7.0,7.0,7.0,7.0,7.0
